instrument,rows,crossed_n,locked_n,spread_median,spread_p99,spread_max,gap_median_s,gap_max_s,gaps_over_60s,skew_median_s,skew_p99_s,neg_skew_n,tx_min,tx_max,crossed_pct,locked_pct,legacy_anomaly_score,anomaly_score
TSLA-USD:SPOT,168559,158,462,0.060000000000002274,0.13999999999998636,0.37000000000000455,0.0,6.308,0,0.09994299999999999,0.384358,0,2026-08-13T14:00:00.001000+0000,2026-08-13T15:59:59.772000+0000,0.09373572458308367,0.27408800479357376,0.46867862291541834,4.686786229154183
AAPL-USD:SPOT,326952,233,1359,0.03000000000002956,0.060000000000002274,0.12000000000000455,0.0,4.226,0,0.0852565,1.2334509999999999,0,2026-08-13T14:00:00.022000+0000,2026-08-13T15:59:59.514000+0000,0.07126428344221782,0.41565734419731337,0.35632141721108906,3.5632141721108908
ATRO-USD:SPOT,3602,0,23,0.37000000000000455,0.8299999999999983,1.039999999999992,0.003,89.387,7,0.085612,0.182524,0,2026-08-13T14:00:01.398000+0000,2026-08-13T15:59:46.832000+0000,0.0,0.6385341476957246,7.0,1.943364797334814
INTC-USD:SPOT,720879,194,6913,0.01999999999999602,0.04999999999999716,0.1699999999999875,0.0,2.44,0,0.111125,0.27011799999999997,0,2026-08-13T13:59:59.911000+0000,2026-08-13T15:59:59.862000+0000,0.026911589878467816,0.9589681486074639,0.1345579493923391,1.3455794939233905
QQQ-USD:SPOT,1010088,221,5311,0.020000000000095497,0.04000000000007731,0.17000000000007276,0.0,3.2769999999999997,0,0.07810299999999999,0.207592,0,2026-08-13T13:59:59.940000+0000,2026-08-13T15:59:59.896000+0000,0.021879281805149652,0.5257957722495465,0.10939640902574826,1.0939640902574825
AMD-USD:SPOT,123670,23,30,0.2899999999999636,0.6399999999999864,0.9899999999999523,0.0,6.995,0,0.0940295,0.626199,0,2026-08-13T14:00:00.054000+0000,2026-08-13T15:59:59.825000+0000,0.018597881458720787,0.02425810625050538,0.09298940729360394,0.9298940729360394
SMH-USD:SPOT,180049,33,65,0.17999999999994998,0.31999999999993634,0.8400000000000318,0.001,4.168,0,0.11969099999999999,0.436208,0,2026-08-13T13:59:59.929000+0000,2026-08-13T15:59:59.877000+0000,0.01832834395081339,0.036101283539480916,0.09164171975406696,0.9164171975406694
TLT-USD:SPOT,117813,21,5585,0.010000000000005116,0.010000000000005116,0.020000000000010232,0.0,11.501999999999999,0,0.092846,0.225513,0,2026-08-13T13:59:59.950000+0000,2026-08-13T15:59:59.662000+0000,0.01782485803773777,4.740563435274545,0.08912429018868885,0.8912429018868885
BOTZ-USD:SPOT,18318,3,1474,0.00999999999999801,0.020000000000003126,0.020000000000003126,0.003,33.009,0,0.124803,0.302625,0,2026-08-13T13:59:59.895000+0000,2026-08-13T15:59:58.804000+0000,0.016377333770062234,8.046729992357244,0.08188666885031116,0.8188666885031116
NVDA-USD:SPOT,618876,96,4226,0.020000000000010232,0.03999999999999204,0.13000000000002387,0.0,2.258,0,0.07957499999999999,0.19600399999999998,0,2026-08-13T13:59:59.949000+0000,2026-08-13T15:59:59.931000+0000,0.015511992709363426,0.6828508457267692,0.07755996354681713,0.7755996354681713
AMZN-USD:SPOT,278284,41,204,0.040000000000020464,0.08000000000004093,0.20000000000004547,0.0,6.779999999999999,0,0.07924199999999999,0.306368,0,2026-08-13T13:59:59.949000+0000,2026-08-13T15:59:59.850000+0000,0.01473315030688074,0.07330640640496759,0.0736657515344037,0.736657515344037
AAEQ-USD:SPOT,3593,0,0,0.030000000000001137,0.05000000000000426,0.259999999999998,0.2475,63.349,2,0.132629,1.469204,0,2026-08-13T14:00:00.011000+0000,2026-08-13T15:59:59.045000+0000,0.0,0.0,2.0,0.5566379070414695
MSFT-USD:SPOT,73584,7,115,0.1099999999999568,0.25,0.45999999999997954,0.0,8.373,0,0.08716199999999999,0.210272,0,2026-08-13T13:59:59.878000+0000,2026-08-13T15:59:59.886000+0000,0.009512937595129375,0.15628397477712547,0.04756468797564688,0.4756468797564688
TIGO-USD:SPOT,42581,0,0,0.20000000000000284,0.37999999999999545,0.75,0.0,119.645,18,0.06254,0.155726,0,2026-08-13T14:00:02.887000+0000,2026-08-13T15:59:50.326000+0000,0.0,0.0,18.0,0.4227237500293558
LRGE-USD:SPOT,8283,0,0,0.10999999999999943,0.46999999999999886,10.170000000000002,0.008,94.431,2,0.12417099999999999,0.44359899999999997,0,2026-08-13T13:59:59.948000+0000,2026-08-13T15:59:17.514000+0000,0.0,0.0,2.0,0.2414584087890861
WYNN-USD:SPOT,26827,0,2,0.09999999999999432,0.23000000000000398,0.3999999999999915,0.0,75.24,5,0.06109,2.820763,0,2026-08-13T14:00:01.813000+0000,2026-08-13T15:59:54.054000+0000,0.0,0.007455175755768443,5.0,0.18637939389421104
GPIX-USD:SPOT,23800,0,1045,0.00999999999999801,0.01999999999999602,0.020000000000003126,0.009,22.311999999999998,0,0.122246,0.494922,0,2026-08-13T13:59:59.927000+0000,2026-08-13T15:59:59.168000+0000,0.0,4.390756302521008,0.0,0.0
QMOM-USD:SPOT,7041,0,0,0.0799999999999983,0.21999999999999886,0.7000000000000028,0.348,22.384999999999998,0,0.12254699999999999,0.35654399999999997,0,2026-08-13T14:00:00.022000+0000,2026-08-13T15:59:59.089000+0000,0.0,0.0,0.0,0.0
