side,price,qty
bid,63810.46,5.63059
bid,63810.45,0.22666
bid,63810.44,0.00016
bid,63810.2,0.00026
bid,63810.19,0.36447
bid,63810.0,0.00026
bid,63809.99,0.60827
bid,63809.18,0.04674
bid,63808.88,0.00008
bid,63808.21,0.00018
bid,63808.2,0.06185
bid,63808.01,0.00009
bid,63808.0,0.18823
bid,63807.99,0.3316
bid,63807.9,0.03741
bid,63807.59,0.01254
bid,63807.56,0.00023
bid,63807.51,0.0392
bid,63807.34,0.00008
bid,63807.17,0.00313
bid,63807.14,0.00008
bid,63807.08,0.02205
bid,63806.64,0.00784
bid,63806.63,0.02799
bid,63806.4,0.004
bid,63806.3,0.00032
bid,63806.22,0.10421
bid,63806.01,0.03603
bid,63806.0,1.77758
bid,63805.99,0.03015
bid,63805.84,0.35894
bid,63805.8,0.11008
bid,63805.35,0.01866
bid,63805.29,0.00008
bid,63805.26,0.00379
bid,63804.89,0.02
bid,63804.87,0.02
bid,63804.81,2.35765
bid,63804.8,0.7689
bid,63804.79,0.00008
bid,63804.58,0.15752
bid,63804.57,0.35456
bid,63804.32,0.02
bid,63804.3,0.04
bid,63804.28,0.02
bid,63804.26,0.02
bid,63804.25,0.02
bid,63804.07,0.13346
bid,63804.01,0.94306
bid,63804.0,0.02208
bid,63803.99,0.24441
bid,63803.98,0.17327
bid,63803.82,0.0392
bid,63803.8,0.08
bid,63803.61,0.00009
bid,63803.52,0.00019
bid,63803.51,0.0456
bid,63803.47,0.15673
bid,63803.3,0.00016
bid,63803.29,0.11995
bid,63803.25,0.00008
bid,63803.2,0.004
bid,63803.14,0.07699
bid,63803.09,0.02819
bid,63802.77,0.00008
bid,63802.67,1.3692
bid,63802.49,0.00008
bid,63802.43,0.00012
bid,63802.41,0.02
bid,63802.0,0.022
bid,63801.92,0.03099
bid,63801.77,0.04
bid,63801.6,0.00424
bid,63801.38,0.02
bid,63801.28,0.38366
bid,63801.21,0.00008
bid,63801.12,0.02
bid,63801.11,0.02
bid,63801.07,0.02
bid,63801.06,0.02
bid,63800.77,0.0047
bid,63800.66,0.03075
bid,63800.34,0.00009
bid,63800.33,0.03794
bid,63800.22,0.00008
bid,63800.19,2.35765
bid,63800.18,0.94306
bid,63800.02,0.00008
bid,63800.01,0.1374
bid,63800.0,0.69735
bid,63799.99,0.51684
bid,63799.98,0.00423
bid,63799.87,0.36371
bid,63799.86,0.0124
bid,63799.85,0.00032
bid,63799.6,0.15127
bid,63799.17,0.00008
bid,63798.96,0.15674
bid,63798.84,0.00032
bid,63798.4,0.00416
bid,63798.0,0.33993
bid,63797.98,0.00422
bid,63797.69,0.00009
bid,63797.67,0.00008
bid,63797.62,0.42374
bid,63797.38,0.00344
bid,63797.16,0.00019
bid,63797.13,0.00008
bid,63797.08,0.94306
bid,63796.8,0.004
bid,63796.61,0.00008
bid,63796.07,0.00012
bid,63796.01,1.64583
bid,63796.0,0.022
bid,63795.98,0.20288
bid,63795.29,0.45646
bid,63795.23,0.00009
bid,63795.2,0.00416
bid,63795.09,0.00008
bid,63794.88,0.01671
bid,63794.7,0.42376
bid,63794.64,0.00023
bid,63794.48,0.00225
bid,63794.15,0.02819
bid,63794.03,0.38366
bid,63794.02,2.35765
bid,63794.0,0.96662
bid,63793.98,0.00009
bid,63793.93,0.002
bid,63793.61,0.3037
bid,63793.6,0.004
bid,63793.55,0.0094
bid,63793.44,0.00032
bid,63793.28,0.00015
bid,63793.08,0.00009
bid,63793.04,0.00008
bid,63792.72,0.42301
bid,63792.71,0.03757
bid,63792.63,0.15675
bid,63792.39,0.00032
bid,63792.2,0.4237
bid,63792.04,0.00009
bid,63792.03,0.00008
bid,63792.0,0.07641
bid,63791.92,0.04576
bid,63791.42,0.53815
bid,63791.3,0.01906
bid,63791.0,0.00008
bid,63790.8,0.00019
bid,63790.62,0.11699
bid,63790.4,0.004
bid,63790.31,0.00059
bid,63790.29,0.002
bid,63790.13,1.32097
bid,63790.0,0.032
bid,63789.99,0.00047
bid,63789.72,0.0025
bid,63789.71,0.00012
bid,63789.58,0.00008
bid,63789.5,0.42371
bid,63789.15,0.0392
bid,63789.02,0.50767
bid,63788.96,0.00008
bid,63788.89,0.02
bid,63788.85,0.00009
bid,63788.84,0.94306
bid,63788.83,2.35765
bid,63788.8,0.00416
bid,63788.32,0.02
bid,63788.31,0.78467
bid,63788.27,0.02
bid,63788.26,0.02
bid,63788.0,0.022
bid,63787.99,0.01696
bid,63787.92,0.004
bid,63787.71,0.002
bid,63787.24,0.00008
bid,63786.92,0.00008
bid,63786.82,0.00012
bid,63786.74,0.00009
bid,63786.41,0.02
bid,63786.33,0.0047
bid,63786.26,0.02819
bid,63786.25,2.10197
bid,63786.24,1.58428
bid,63786.01,0.00008
bid,63786.0,0.022
bid,63785.94,0.00032
bid,63785.77,0.02
bid,63785.76,0.02
bid,63785.66,0.00009
bid,63785.6,0.00016
bid,63785.57,0.00032
bid,63785.37,0.02
bid,63785.15,0.00023
bid,63785.12,0.02
bid,63785.11,0.02
bid,63785.07,0.02
bid,63785.05,0.03935
bid,63785.01,0.1
bid,63784.88,0.00008
bid,63784.59,0.38366
bid,63784.55,1.50566
bid,63784.54,0.94306
bid,63784.53,2.35765
bid,63784.44,0.00019
bid,63784.37,0.42375
bid,63784.0,0.022
bid,63783.63,0.52109
bid,63783.62,0.3037
bid,63783.35,0.00012
bid,63782.85,0.00008
bid,63782.84,0.00008
bid,63782.64,0.67
bid,63782.47,0.00009
bid,63782.46,0.0392
bid,63782.4,0.00016
bid,63782.0,0.022
bid,63781.56,0.78695
bid,63781.3,0.59687
bid,63780.85,0.00156
bid,63780.84,0.00008
bid,63780.8,0.00408
bid,63780.41,0.20314
bid,63780.4,0.00009
bid,63780.25,0.02819
bid,63780.24,0.36694
bid,63780.1,1.43513
bid,63780.09,0.78477
bid,63780.02,0.94306
bid,63780.0,0.03217
bid,63779.56,2.35765
bid,63779.49,0.00032
bid,63779.28,0.00009
bid,63779.2,0.00016
bid,63779.12,0.00345
bid,63778.95,0.3959
bid,63778.85,0.00008
bid,63778.76,0.00008
bid,63778.41,0.00023
bid,63778.2,1.5539
bid,63778.08,0.00019
bid,63778.0,0.032
bid,63777.19,0.00008
bid,63777.04,0.00012
bid,63776.99,0.02012
bid,63776.76,0.38366
bid,63776.74,0.00335
bid,63776.72,0.00008
bid,63776.39,0.94306
bid,63776.09,0.00009
bid,63776.0,0.02216
bid,63775.92,0.20504
bid,63775.68,0.005
bid,63775.0,0.0025
bid,63774.68,0.00008
bid,63774.48,0.00008
bid,63774.27,2.35765
bid,63774.26,0.96833
bid,63774.06,0.00009
bid,63774.04,0.00008
bid,63774.0,0.022
bid,63773.99,0.10647
bid,63773.74,0.03134
bid,63773.62,0.94306
bid,63773.61,0.3037
bid,63773.05,0.00032
bid,63772.72,0.00626
bid,63772.69,0.00032
bid,63772.63,0.00008
bid,63772.04,0.00008
bid,63772.0,0.022
bid,63771.75,0.78488
bid,63771.72,0.00019
bid,63771.11,0.06959
bid,63770.84,0.94306
bid,63770.63,0.00012
bid,63770.59,0.00008
bid,63770.32,0.01624
bid,63770.07,0.38366
bid,63770.03,0.00008
bid,63770.0,0.032
bid,63769.9,2.35765
bid,63769.88,0.98564
bid,63769.01,0.4
bid,63768.55,0.00008
bid,63768.48,0.02
bid,63768.47,0.02
bid,63768.33,0.04224
bid,63768.18,0.94306
bid,63768.17,0.5
bid,63768.16,0.00035
bid,63768.0,0.02208
bid,63767.97,0.00008
bid,63767.9,0.02
bid,63767.85,0.04
bid,63767.72,0.00009
bid,63767.65,0.03134
bid,63767.59,0.0062
bid,63767.21,0.03134
bid,63766.6,0.00032
bid,63766.51,0.00008
bid,63766.43,0.02045
bid,63766.28,0.00032
bid,63766.04,0.00008
bid,63766.0,0.0223
bid,63765.99,0.02
bid,63765.89,0.00428
bid,63765.69,0.00432
bid,63765.6,0.0392
bid,63765.47,0.94306
bid,63765.36,0.00125
bid,63765.35,0.02
bid,63765.25,0.02
bid,63764.71,0.02
bid,63764.69,0.02
bid,63764.66,0.02
bid,63764.64,0.02
bid,63764.47,0.00008
bid,63764.42,0.3037
bid,63764.27,0.00012
bid,63764.18,0.15702
bid,63764.08,0.00204
bid,63764.02,0.15755
bid,63764.0,0.022
bid,63763.99,0.00008
bid,63763.88,0.00433
bid,63763.73,2.35765
bid,63763.72,0.78498
bid,63763.41,0.9685
bid,63762.67,0.38366
bid,63762.66,0.94306
bid,63762.59,0.01071
bid,63762.43,0.00008
bid,63762.38,0.02
bid,63762.14,0.00008
bid,63762.0,0.022
bid,63761.72,0.00008
bid,63761.41,0.029
bid,63761.38,0.00009
bid,63760.39,0.00008
bid,63760.37,0.0588
bid,63760.31,0.00008
bid,63760.15,0.00032
bid,63760.0,0.03222
bid,63759.97,0.0025
bid,63759.75,0.00032
bid,63759.3,0.00008
bid,63759.0,0.00019
bid,63758.5,0.00008
bid,63758.47,0.0392
bid,63758.42,0.94306
bid,63758.0,0.022
bid,63757.91,0.00012
bid,63757.84,0.01161
bid,63757.61,0.3037
bid,63756.92,0.01149
bid,63756.31,0.00008
bid,63756.04,0.00008
bid,63756.0,0.02208
bid,63755.81,0.00062
bid,63755.35,0.94306
bid,63755.33,0.38366
bid,63755.04,0.00009
bid,63754.63,0.00058
bid,63754.55,0.00029
bid,63754.39,0.00008
bid,63754.27,0.00008
bid,63754.25,0.0052
bid,63754.13,0.00008
bid,63754.0,0.022
bid,63753.7,0.00032
bid,63753.25,0.00032
bid,63752.94,0.00013
bid,63752.73,1.55452
bid,63752.64,0.00019
bid,63752.53,0.94306
bid,63752.51,0.02008
bid,63752.0,0.022
bid,63751.91,0.02
bid,63751.55,0.00012
bid,63750.19,0.00008
bid,63750.0,0.35263
bid,63749.99,0.00008
bid,63749.35,0.00112
bid,63749.13,0.94306
bid,63748.97,0.00008
bid,63748.96,0.00008
bid,63748.7,0.00009
bid,63748.57,0.0172
bid,63748.01,0.00009
bid,63748.0,0.022
bid,63747.99,0.15681
bid,63747.25,0.38398
bid,63747.16,0.00008
bid,63746.82,0.00032
bid,63746.64,0.00027
bid,63746.62,0.00539
bid,63746.5,0.94306
bid,63746.28,0.00019
bid,63746.18,0.00009
bid,63746.11,0.00008
bid,63746.0,0.022
bid,63745.23,0.00012
bid,63745.19,0.00012
bid,63744.94,0.0025
bid,63744.92,0.0438
bid,63744.91,2.44728
bid,63744.82,0.00008
bid,63744.0,0.02224
bid,63743.99,0.00013
bid,63743.98,0.01254
bid,63743.59,0.94306
bid,63743.51,0.0392
bid,63743.41,1.98574
bid,63742.84,0.04576
bid,63742.72,0.3037
bid,63742.36,0.00009
bid,63742.04,0.00008
bid,63742.03,0.00008
bid,63742.0,0.022
bid,63741.62,0.00784
bid,63741.17,0.00012
bid,63741.06,0.00155
bid,63740.8,0.00032
bid,63740.57,0.38366
bid,63740.37,0.00032
bid,63740.35,0.08098
bid,63740.08,0.001
bid,63740.0,0.032
bid,63739.92,0.00019
bid,63739.79,0.00008
bid,63739.55,0.15681
bid,63738.83,0.00012
bid,63738.01,0.00008
bid,63738.0,0.022
bid,63737.75,3.16297
bid,63737.25,0.00008
bid,63736.94,0.00843
bid,63736.59,1.55492
bid,63736.2,0.00008
bid,63736.04,0.00008
bid,63736.02,0.00009
bid,63736.0,0.022
bid,63735.91,0.00008
bid,63735.68,0.15681
bid,63735.29,0.00053
bid,63735.1,0.00008
bid,63734.41,0.3037
bid,63734.35,0.00032
bid,63734.0,0.022
bid,63733.68,0.00032
bid,63733.6,0.00008
bid,63733.56,0.00019
bid,63732.47,0.00012
bid,63732.0,0.022
bid,63731.63,0.15681
bid,63731.6,0.00008
bid,63730.98,0.00009
bid,63730.42,0.38366
bid,63730.07,0.0003
bid,63730.0,0.032
bid,63729.8,0.0025
bid,63729.79,0.00008
bid,63729.68,0.00009
bid,63729.42,0.00008
bid,63728.0,0.022
bid,63727.9,0.00032
bid,63727.73,0.00008
bid,63727.61,0.3037
bid,63727.27,0.00046
bid,63727.2,0.00019
bid,63726.11,0.00012
bid,63726.04,0.00008
bid,63726.0,0.022
bid,63725.72,0.00008
bid,63725.38,0.00784
bid,63724.93,0.0024
bid,63724.5,0.00008
bid,63724.13,0.00054
bid,63724.0,0.022
bid,63723.97,0.00022
bid,63723.68,0.00008
bid,63723.53,0.00627
bid,63723.44,0.00008
bid,63723.34,0.00009
bid,63722.92,0.38366
bid,63722.28,0.00008
bid,63722.06,0.00008
bid,63722.0,0.022
bid,63721.79,0.02642
bid,63721.55,0.16306
bid,63721.54,4.71299
bid,63721.45,0.00032
bid,63721.1,0.00019
bid,63720.84,0.00051
bid,63720.04,0.00008
bid,63720.0,0.03217
bid,63719.81,0.3037
bid,63719.75,0.00012
bid,63719.6,0.00008
bid,63718.74,0.14113
bid,63718.12,0.00014
bid,63718.0,0.022
bid,63717.56,0.00008
bid,63717.46,0.00494
bid,63717.39,0.00008
bid,63717.14,0.00008
bid,63717.0,0.00009
bid,63716.21,0.00027
bid,63716.0,0.022
bid,63715.14,0.00008
bid,63715.0,0.00032
bid,63714.5,0.00023
bid,63714.49,0.0025
bid,63714.48,0.00019
bid,63714.28,0.0007
bid,63714.15,0.00032
bid,63714.0,0.022
bid,63713.42,0.00012
bid,63713.39,0.00012
bid,63713.05,0.3037
bid,63712.86,0.00008
bid,63712.5,0.00018
bid,63712.23,0.00011
bid,63712.0,0.02216
bid,63711.75,0.00008
bid,63711.42,0.38366
bid,63710.77,0.04645
bid,63710.68,0.00008
bid,63710.66,0.00009
bid,63710.5,0.00008
bid,63710.17,0.00009
bid,63710.14,0.04578
bid,63710.0,0.032
bid,63709.67,0.00105
bid,63709.4,0.00008
bid,63708.55,0.00032
bid,63708.36,0.00046
bid,63708.12,0.00009
bid,63708.1,0.001
bid,63708.0,0.022
bid,63707.68,0.0004
bid,63707.61,0.0392
bid,63707.37,0.00008
bid,63707.03,0.00012
bid,63706.0,0.022
bid,63705.88,0.00541
bid,63705.39,0.00008
bid,63705.07,0.0002
bid,63705.0,0.00266
bid,63704.52,0.07208
bid,63704.32,0.00009
bid,63704.27,0.3037
bid,63704.0,0.022
bid,63703.97,0.00105
bid,63703.77,0.00008
bid,63702.88,0.00008
bid,63702.67,0.00027
bid,63702.14,0.00008
bid,63702.11,0.00032
bid,63702.0,0.022
bid,63701.76,0.0001
bid,63701.25,0.00008
bid,63701.05,0.00032
bid,63700.72,0.01773
bid,63700.0,0.06372
bid,63699.93,0.12943
bid,63699.92,0.38366
bid,63699.69,0.00193
bid,63699.33,0.00008
bid,63699.17,0.00009
bid,63699.0,0.00008
bid,63698.24,0.0392
bid,63697.98,0.00009
bid,63697.92,0.00008
bid,63697.61,0.3037
bid,63697.44,0.00009
bid,63697.24,0.00033
bid,63697.17,0.00008
bid,63697.12,0.00736
bid,63696.3,4.71486
bid,63696.14,0.00008
bid,63696.0,0.00008
bid,63695.67,0.00016
bid,63695.66,0.00032
bid,63695.65,0.00018
bid,63695.45,0.00027
bid,63694.64,0.00032
bid,63694.18,0.00027
bid,63694.14,0.00008
bid,63692.3,0.00297
bid,63692.25,0.00011
bid,63692.05,0.00018
bid,63692.01,1.88
bid,63691.66,0.00019
bid,63691.57,0.00008
bid,63691.13,0.00013
bid,63691.06,0.00008
bid,63690.47,0.0001
bid,63690.0,0.01285
bid,63689.67,0.00008
bid,63689.35,0.0392
bid,63689.28,0.3037
bid,63689.21,0.00032
bid,63689.04,0.00019
bid,63688.9,0.38366
bid,63688.38,0.00015
bid,63688.18,0.00032
bid,63688.1,0.00012
bid,63688.0,0.00014
bid,63687.83,0.6999
bid,63687.67,0.00012
bid,63686.98,0.00009
bid,63686.95,0.00008
bid,63686.44,0.00009
bid,63686.25,0.00008
bid,63685.99,0.00076
bid,63685.87,0.00043
bid,63685.4,0.00077
bid,63685.16,0.00008
bid,63685.08,0.001
bid,63685.0,0.0008
bid,63684.95,0.00008
bid,63684.67,0.00008
bid,63684.35,0.00139
bid,63683.94,0.01055
bid,63683.43,0.00067
bid,63683.2,0.00008
bid,63682.89,0.3037
bid,63682.76,0.00032
bid,63682.37,0.00009
bid,63682.08,0.0001
bid,63681.81,0.00009
bid,63681.61,0.00012
bid,63681.48,0.00008
bid,63681.4,0.00032
bid,63680.87,0.00008
bid,63680.65,0.00025
bid,63680.54,0.00208
bid,63680.43,0.00046
bid,63680.03,0.00025
bid,63680.0,0.01066
bid,63679.59,0.0392
bid,63679.3,0.00009
bid,63678.96,0.00009
bid,63678.67,0.00008
bid,63677.41,0.38403
bid,63677.04,0.00008
bid,63676.5,0.30416
bid,63676.47,0.00012
bid,63676.32,0.0001
bid,63676.31,0.00032
bid,63675.53,0.00441
bid,63675.46,0.00117
bid,63675.32,0.00045
bid,63674.99,0.01278
bid,63674.79,0.0048
bid,63674.76,0.00008
bid,63674.64,0.00008
bid,63674.51,0.00032
bid,63674.07,0.15613
bid,63674.05,0.00078
bid,63673.71,0.00008
bid,63673.5,0.00008
bid,63673.06,0.00013
bid,63673.0,0.00009
bid,63672.67,0.00009
bid,63672.5,0.0013
bid,63672.4,0.00008
bid,63672.08,0.00023
bid,63672.05,0.00009
bid,63672.0,0.00008
bid,63671.68,0.00009
bid,63671.45,0.00008
bid,63670.66,0.00008
bid,63670.6,0.00013
bid,63670.15,0.00079
bid,63670.11,0.3037
bid,63670.0,0.01058
bid,63669.96,0.00009
bid,63669.86,0.00032
bid,63669.19,0.0001
bid,63669.0,0.00008
bid,63668.98,0.00013
bid,63668.64,0.00008
bid,63668.33,0.00027
bid,63668.16,0.00009
bid,63667.76,0.00075
bid,63667.55,0.00145
bid,63667.41,0.0392
bid,63667.39,0.00008
bid,63667.22,0.00008
bid,63667.18,0.00023
bid,63666.87,0.00016
bid,63666.66,0.017
bid,63666.09,0.025
bid,63665.92,0.38366
bid,63665.88,0.00024
bid,63665.39,0.00016
